2015-08-25T10:25:28: Launching bolt session for c:\users\r.kutliahmetov\documents\visual studio 2013\projects\redis\.redis.boltdata - SessionId: 65ac22ad-8b7c-4533-91b0-d31d2f39ae66
2015-08-25T11:00:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:01:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:01:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:02:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:02:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:03:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-25T11:03:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-25T11:04:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:04:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:05:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:05:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:06:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:06:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:07:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:07:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:08:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:08:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:09:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:09:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:10:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:10:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:11:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:11:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:12:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:12:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T11:13:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:13:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:14:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:14:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-25T11:15:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:15:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:16:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:16:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:17:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:17:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:18:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:18:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:19:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:19:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:20:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:20:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:21:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:21:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:22:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T11:22:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:23:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:23:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:24:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:24:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:25:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:25:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:26:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
