2015-08-24T15:12:28: Launching bolt session for c:\users\r.kutliahmetov\documents\visual studio 2013\projects\redis\.redis.boltdata - SessionId: 0eff63bc-bf2f-4fc2-886b-9de5eb96fc3e
2015-08-24T15:47:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:48:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-24T15:48:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:49:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-24T15:49:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:50:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:50:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-24T15:51:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:51:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:52:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:52:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:53:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:53:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:54:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:54:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,007s 
2015-08-24T15:55:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:55:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:56:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:56:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:57:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:57:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:58:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-24T15:58:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:59:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:59:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T16:00:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T16:00:51: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T16:01:21: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T16:01:35: Closing bolt session for c:\users\r.kutliahmetov\documents\visual studio 2013\projects\redis\.redis.boltdata - SessionId: 0eff63bc-bf2f-4fc2-886b-9de5eb96fc3e
